Platform,Release Year,Source
2600,1977,Video Game Console Library
3DO,1993,Video Game Console Library
3DS,2011,Nintendo
DC,1998,Video Game Console Library
DS,2004,Wikipedia
GB,1989,Video Game Console Library
GBA,2001,Wikipedia
GC,2001,Video Game Console Library
GEN,1988,Video Game Console Library
GG,1990,Wikipedia
N64,1996,Video Game Console Library
NES,1983,Video Game Console Library
NG,1990,Video Game Console Library
PC,1962,Wikipedia
PCFX,1994,Wikipedia
PS,1994,Video Game Console Library
PS2,2000,Video Game Console Library
PS3,2006,Video Game Console Library
PS4,2013,Video Game Console Library
PSP,2004,Video Game Console Library
PSV,2011,Wikipedia
SAT,1994,Video Game Console Library
SCD,1991,Wikipedia
SNES,1990,Video Game Console Library
TG16,1987,Wikipedia
Wii,2006,Video Game Console Library
WiiU,2012,Video Game Console Library
WS,1999,Wikipedia
X360,2005,Video Game Console Library
XB,2001,Video Game Console Library
XOne,2013,Video Game Console Library
