Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
15002,Wii de Asobu: Metroid Prime,Wii,N/A,Shooter,Nintendo,0,0,0.02,0,0.02,"Duplicate - Same Platform, Year, Genre, Publisher, and Sales values as another record. Different only in rank. Kept first record of this game to avoid double-counting sales."
16130,Madden NFL 13,PS3,2012,Sports,Electronic Arts,0,0.01,0,0,0.01,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record only contained EU_Sales data while the primary record contained complete regional sales. The relationship between these records could not be established, so the secondary record was excluded to avoid potential double-counting."
15868,PDC World Championship Darts 2008,DS,N/A,Sports,Unknown,0.01,0,0,0,0.02,Incorrect Record - Verified that this game was not released on the DS platform
16201,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,0.01,0,0.01,Incorrect Record - Verified that this game was not released on the X360 platform
16232,Brothers in Arms: Furious 4,X360,N/A,Shooter,N/A,0.01,0,0,0,0.01,Incorrect Record - Verified that this game was not released on the X360 platform
14315,Majesty 2: The Fantasy Kingdom Sim,X360,N/A,Simulation,Unknown,0.03,0,0,0,0.03,Incorrect Record - Verified that this game was not released on the X360 platform
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0,0,0.14,0,0.14,Incorrect Record - Verified that this game was not released on the Sega Genesis platform
16063,"Pachi-Slot Teiou: Golgo 13 Las Vegas (JP sales, but wrong system)",PS2,2002,Misc,Media Entertainment,0,0,0.01,0,0.01,Incorrect Record - Verified that this game was not released on the PS2 platform
15885,Earth Defense Force 2017 (old JP sales),X360,2006,Shooter,D3Publisher,0,0,0.02,0,0.02,"Duplicate/Alternate - Same Platform, Year, and Publisher as another record. ""Old JP sales"" in the title indicated that this record was outdated. This secondary record was excluded to avoid potential double-counting."
3637,The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0,0.02,0.55,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. ""Old US sales"" in the title indicated that this record was outdated. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""US Sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
1136,Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Sports,Activision,0.8,0.63,0.01,0.19,1.62,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. ""Old all region sales"" in the title indicated that this record was outdated. The original record appeared to be the more updated observation. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""Weekly american sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
7238,Dragon Ball: Origins (JP & incomplete US sales),DS,2008,Adventure,Atari,0.04,0,0.17,0,0.22,"Duplicate/Alternate - Same Platform, Year, and Publisher as another record. ""JP & incomplete US sales"" in the title indicated that this record was incomplete. This secondary record was excluded to avoid potential double-counting."
7865,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,0,0,0.19,0,0.19,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record contained ""higher JP sales"" and appeared to be an updated version of this record. This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""higher JP sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
13613,FIFA Soccer 2003 (weekly jp sales),PS2,2002,Sports,Electronic Arts,0,0,0.04,0,0.04,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. The original record contained measures for each of the regions, while this record was incomplete. This secondary record was excluded to avoid potential double-counting."
